ТИП,ВОПРОС,ОТВЕТ,КОНТЕКСТ
простой,"Из-за чего в сниппете нет поля ""description""",При публикации внешних ссылок на стене мы подтягиваем с сайтов ключевые данные в предпросмотр: изображение и заголовок. Описание («description») мы в сниппет не забираем.,При публикации внешних ссылок на стене мы подтягиваем с сайтов ключевые данные в предпросмотр: изображение и заголовок. Описание («description») мы в сниппет не забираем.Подробнее о данных сниппета написано в [https://vk.com/dev/publications?f=3.1.%20%D0%94%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5%20%D1%81%D0%BD%D0%B8%D0%BF%D0%BF%D0%B5%D1%82%D0%B0|документации].
простой,Как изменить язык ответа на API запросы?,"Для этого вам следует использовать общий для всех запросов параметр lang. Он определяет язык, на котором будут возвращаться различные данные, например, названия стран и городов. ","Для этого вам следует использовать общий для всех запросов параметр lang.Он определяет язык, на котором будут возвращаться различные данные, например, названия стран и городов. Может содержать строковое обозначение языка или его идентификатор (получить идентификатор языка пользователя вы можете методом account.getInfo).ru (0) — русский,ua (1) — украинский,be (2) — белорусский,en (3) — английский,es (4) — испанский,fi (5) — финский,de (6) — немецкий,it (7) — итальянский.Кириллические имена будут автоматически транслитерированы в латиницу для всех языков, кроме русского, украинского и белорусского."
простой,Как через API указать ссылку на источник?,Для этого нужно указать ссылку в параметре copyright.,Для этого нужно указать ссылку в параметре copyright: https://vk.com/dev/wall.post.Проверить правильность ссылки можно с помощью метода: https://vk.com/dev/wall.checkCopyrightLink.
условный,"С чем может быть связана ошибка ""Internal server error code 10""","Эта ошибка возникает у нас на серверах. Вам стоит чуть-чуть подождать и повторить запрос снова. Если она раз за разом повторяется, нужно связаться с нами.","Эта ошибка возникает на нашей стороне, у нас на серверах. Стоит чуть-чуть подождать и повторить запрос снова. Если она раз за разом повторяется, нужно связаться с нами."
простой,Как загрузить фотографию на аватар через API?,Нужно получить адрес для загрузки фотографии методом photos.getOwnerPhotoUploadServer. Отправить нужный файл POST-запросом на этот сервер Сохранить этот файл методом photos.saveOwnerPhoto,Нужно получить адрес для загрузки документа методом [vk.com/dev/docs.getMessagesUploadServer|docs.getMessagesUploadServer] Отправить нужный файл POST-запросом на этот сервер Сохранить этот файл методом [vk.com/dev/docs.save|docs.save].Подробнее об этом можно прочитать в документации [vk.com/dev/upload_files_2?f=10.%20Загрузка%20документов|тут].
простой,Как создать рекламу?,"Для создания рекламы в ВКонтакте нужно выполнить следующие шаги:
Выберите цель рекламы: Определитесь, что именно вы хотите достичь с помощью рекламы — увеличить узнаваемость продукта, получить больше переходов на сайт или привлечь подписчиков в сообщество.
Выберите формат рекламы: В зависимости от выбранной цели доступны различные форматы объявлений, такие как Универсальная запись, Карусель, Мобильное приложение и другие.
Настройте целевую аудиторию: Определите, кому будет показываться ваше объявление. Вы можете использовать более 20 видов таргетинга, включая пол, возраст, географию, интересы и другие параметры.
Установите расписание и бюджет: Решите, когда и как часто будет показываться ваше объявление. Вы можете настроить время показа и установить дневной и общий бюджет кампании.
Запустите кампанию: После всех настроек можно запустить рекламную кампанию. Не забудьте следить за статистикой и оптимизировать объявления при необходимости.

","Объявление — это основная рекламная публикация ВКонтакте. С её помощью вы можете рассказать о своём бизнесе, привлечь пользователей в сообщество или на мероприятие, собрать заявки на консультацию или продвинуть мобильное приложение. Для каждого объявления вы можете указать собственные настройки: целевую аудиторию, расписание и бюджет.Кампании нужны, чтобы группировать объявления. У них есть несколько преимуществ:1. Удобный поиск. Если у вас много объявлений, можно объединить их по тематике. Так проще будет найти нужное в кабинете.2. Простое управление. Для кампаний доступны [https://vk.com/faq15970|массовые действия]. Вы можете быстро поменять цену, установить лимиты, запустить несколько объявлений одним кликом.3. Ограничение бюджета. Вы можете установить [https://vk.com/faq20602|дневной и общий бюджет] рекламной кампании — это лимит на расходы для всех объявлений в ней.4. Оптимизация бюджета. Это инструмент, который поможет автоматически [https://vk.com/faq19353|распределять выделенный бюджет] между вашими объявлениями таким образом, чтобы получить больше целевых действий.5. Общая статистика. Вы можете посмотреть [https://vk.com/faq20877|суммарную статистику] по всем объявлениям в кампании: сколько всего потрачено, каков CTR или eCPC, сколько показов и переходов получили объявления из вашей кампании и многое другое.Есть техническое ограничение: в одной рекламной кампании не могут быть одновременно объявления разных групп форматов.Выбор цели рекламыЧтобы создать объявление, нужно выбрать цель рекламы. Например, показать объявление наибольшему количеству пользователей и сделать продукт узнаваемым, получить как можно больше переходов на сайт или набрать подписчиков в сообщество.Выбор цели поможет нам публиковать вашу рекламу так, чтобы вы получили лучший результат. Цели делятся на три группы: Показы и переходы, Вовлечение ВКонтакте и Конверсии. Подробнее о целях[[photo100_461656388|400x233pxnoborder| ]]Вы можете отфильтровать цели по объекту, который собираетесь рекламировать. Для этого нажмите на фильтр под заголовком Выберите цель рекламы — в списке останутся только цели, которые подходят вам.[[photo100_461656395|400x243pxnoborder| ]]Выбор форматаФормат рекламы — то, как оформлено ваше объявление. Например, Универсальная запись, Карусель, Мобильное приложение или Запись с кнопкой. Примерный вид объявления вы увидите на картинке слева от названия каждого формата. [https://vk.com/faq20584|Подробнее о форматах].Для разных целей доступны свои рекламные форматы. Для некоторых подходит только один формат — в этом случае он будет выбран автоматически. Если вам кажется, что ни одно из оформлений не подходит, попробуйте изменить цель.[[photo100_461656673|400x216pxnoborder| ]]Настройки целевой аудиторииЧтобы показывать рекламу только тем, кого она может заинтересовать, выберите таргетинги — настройки целевой аудитории. ВКонтакте доступно более 20 видов таргетинга: от самых простых вроде пола, возраста, географии и интересов до тонких настроек. Например, типов устройств, с которых пользователи выходят в сеть. Так вы можете выбрать жительниц Санкт-Петербурга до 30 лет, у которых скоро день рождения и которые часто делают покупки онлайн. [https://vk.com/faq20586|Подробнее о таргетингах ВКонтакте.]Расписание показов рекламы, даты запуска и остановкиЛюди заходят ВКонтакте и днём, и ночью: листают ленту по пути на работу, выкладывают фотографии на обеденном перерыве и смотрят видеоролики перед сном. Чтобы как можно больше пользователей увидели ваши объявления, по умолчанию они работают круглосуточно.Если вы хотите показывать рекламу в конкретные часы и дни, задайте [https://vk.com/faq20634|время показа]. Для этого при создании объявления в разделе Время показа рекламы отметьте ячейки в таблице с расписанием. Вы можете использовать готовые шаблоны: показывать только в рабочее время, только в выходные или выбрать такой же график, как в предыдущем вашем объявлении.Не забудьте про праздничные дни: если стоит галочка Учитывать праздники, то в дни государственных праздников реклама будет показываться так же, как в воскресенья. Если убрать галочку, то система будет считать эти дни обычными.Кроме расписания, вы можете выбрать дату запуска и дату остановки кампании или объявления. Это удобно, например, если вы рекламируете акцию, которая ограничена во времени, или мероприятие с конкретной датой. Можно указать только дату запуска или только дату остановки.Перед установкой даты запуска кампанию или объявление нужно остановить. Если этого не сделать, реклама продолжит работать. Чтобы прервать одну из кампаний, перейдите в их список и нажмите Остановить в поле Статус.То же можно сделать и с объявлением. Найдите в списке кампаний нужную, а затем — само объявление. Кнопка Остановить находится в том же поле Статус.Если вы хотите установить только дату остановки, то менять статус не нужно.Будьте внимательны: при изменении статуса рекламной кампании меняется также статус объявлений внутри неё. Если вы прервёте кампанию, все объявления, запущенные в её рамках, также остановятся. То же касается и запуска — в том числе и по расписанию.Исключение — объявления, которые вы остановили вручную. Если вы поставили их на паузу, затем прервали кампанию, а после запустили её вновь, статус объявлений не изменится. Их нужно будет включить отдельно.Чтобы установить дату запуска или остановки кампании или объявления:1. Перейдите на страницу нужной кампании или объявления.2. Укажите дату запуска и дату остановки. Если вы выберете дату запуска 01.01.2022, а остановки — 31.01.2022, то ваша реклама начнёт транслироваться 01.01.2022 в 00:00, а закончит — 31.01.2022 в 00:01.Даты запуска и остановки можно в любой момент посмотреть на странице кампании или объявления. Если вы передумали, их можно изменить или удалить."
условный,Как сделать страницу с QR-кодом ВКонтакте для государственного сообщества?,"Администраторы сообществ государственных организаций могут создать QR-код в версии для компьютера. В своём сообществе откройте Управление и в блоке Основная информация найдите пункт QR-код. Нажмите на Создать — перед вами появится макет с QR-кодом.Обратите внимание: создать QR-код ВКонтакте можно и другими способами. Чтобы каждый переход по ссылке учитывался в статистике и участвовал в формировании рейтинга государственных сообществ, используйте только способ, описанный выше.","Администраторы сообществ государственных организаций могут создать QR-код в версии для компьютера. В своём сообществе откройте Управление и в блоке Основная информация найдите пункт QR-код. Нажмите на Создать — перед вами появится макет с QR-кодом.Обратите внимание: создать QR-код ВКонтакте можно и другими способами. Чтобы каждый переход по ссылке учитывался в статистике и участвовал в формировании рейтинга государственных сообществ, используйте только способ, описанный выше."
простой,Как создавать и редактировать папки в приложении VK Мессенджер?,"Для создания и редактирования папок в приложении VK Мессенджер следуйте этим шагам:
Создание папки:
Откройте приложение VK Мессенджер.
Перейдите на вкладку ""Аккаунт"".
Выберите пункт ""Папки"".
Нажмите на кнопку ""Создать"".
Укажите название папки и выберите чаты или контакты, которые хотите добавить в эту папку.
Редактирование папок:

Для редактирования папок откройте меню с настройками папки. Это можно сделать, зажав фильтр ""Все"".
Для изменения порядка папок в списке зажмите любую из них и переместите вверх или вниз.
Чтобы добавить или удалить чат из папки, откройте папку, зажмите чат и выберите соответствующий вариант (""Добавить в папку"" или ""Убрать из папки"").
","Вы можете создать до 15 папок и добавить в них групповые чаты, диалоги с друзьями и контактами из телефонной книги. Откройте вкладку Аккаунт, выберите пункт Папки и нажмите Создать. Затем укажите название папки, выберите чаты и контакты.Чтобы добавить в папку чат из общего списка, зажмите его и выберите из открывшегося меню Добавить в папку. Чтобы удалить чат из папки, откройте её, зажмите чат и выберите Убрать из папки.Вы можете редактировать папки: меню с настройками откроется по долгому нажатию на фильтр Все. Для изменения порядка папок в списке зажмите любую из них и сдвиньте её вверх или вниз.В счётчике рядом с названием папки вы увидите количество непрочитанных сообщений во всех чатах выбранной папки, включая чаты с выключёнными уведомлениями. Если непрочитанные сообщения в папке находятся только в чатах с выключенными уведомлениями, счётчик будет серым. При наличии непрочитанных сообщений в чатах с включёнными уведомлениями — синим."
простой,Где находятся записи звонков?,"Записи звонков в ВКонтакте можно найти следующим образом:

От имени вашего профиля ВКонтакте: Если вы вели запись от своего профиля, сохранённые звонки будут доступны в разделе Мои видео в плейлисте «Трансляции звонков».

От имени сообщества: Если трансляция была проведена от имени сообщества, запись звонка появится в соответствующем разделе сообщества.","Если вы вели запись от имени своего профиля ВКонтакте, то сохранённые звонки будут доступны в разделе [https://vk.com/video|Мои видео] в плейлисте «Трансляции звонков». Если трансляция была от имени сообщества, то видеозапись появится в соответствующем разделе сообщества.Чтобы просмотреть записи звонков в приложении VK Звонки, выберите опцию Настройки и откройте список записей звонков. В нём отображаются все записи, в которых вы были инициатором. Нажмите на нужную запись — она автоматически откроется в новом окне браузера. Варианты действий, доступных с записью, расположены под видео."
простой,Есть ли комиссия за перевод другому пользователю VK Pay?,За переводы со счёта или карты VK Pay на счёт или карту VK Pay комиссия не взимается.,За переводы со счёта или карты VK Pay на счёт или карту VK Pay комиссия не взимается.
условный,"Что делать, если мне угрожают?","Если в ваш адрес поступают сообщения с оскорблениями и угрозами, отправьте жалобу на профиль пользователя и добавьте его в чёрный список. Эти действия помогут на время блокировать действия обидчика на нашей платформе. Если вам прислали угрозу физической расправы, рекомендуем как можно скорее обратиться в полицию. Подать обращение можно дистанционно на сайте МВД РФ",
простой,Как управлять бонусами?,"Вы можете выбрать, потратить или накопить бонусы, в момент онлайн-покупки. Для этого при оплате нажмите на стрелочку возле бонусного баланса и выберите нужное действие.Если у вас нет бонусов, они будут накапливаться по умолчанию. После пополнения бонусного баланса переключатель вернётся в то положение, которое вы ранее выбрали в мини-приложении VK Pay.","Вы можете выбрать, потратить или накопить бонусы, в момент онлайн-покупки. Для этого при оплате нажмите на стрелочку возле бонусного баланса и выберите нужное действие. {|nomargin:|-! <center>[[photo100_461983857|180x350pxnoborder| ]][[photo100_461983860|350x257pxnoborder| ]]</center>|}Если у вас нет бонусов, они будут накапливаться по умолчанию. После пополнения бонусного баланса переключатель вернётся в то положение, которое вы ранее выбрали в мини-приложении VK Pay."
простой,Что такое pin-код VK play,По сути это пинкод банковской карты. Вы сами придумываете PIN-код VK Pay при создании аккаунта VK Pay и используете его для подтверждения оплаты.,"Да, это один и тот же пароль. Вы сами придумываете PIN-код VK Pay при создании аккаунта VK Pay и используете его для подтверждения оплаты."
простой,Как отметить человека в истории?,"Чтобы вставить в историю упоминание, нажмите на значок стикера и выберите нужный. В качестве имени нужно ввести данные пользователя.","Чтобы вставить в историю упоминание, нажмите на значок стикера и выберите нужный. В качестве имени нужно ввести данные пользователя или адрес сообщества. Выпадающие подсказки помогут определиться. В одной истории может быть не более 10 упоминаний. Упомянутые получат оповещение.В мобильном приложении можно упомянуть пользователя с помощью значка @ в тексте — без стикера. Сообщества могут отключить такие упоминания в полной версии платформы: колокольчик → Настройки → под разделом Уведомления выбрать нужное сообщество → пункт Упоминания в историях. В мобильном приложении ВКонтакте: колокольчик → иконка настроек → Уведомления от сообществ → выбрать нужное сообщество → пункт Упоминания в историях."
простой,У кого я в черном списке?,"Возможности увидеть список пользователей, которые предпочли ограничить вам доступ к своему профилю, нет. Если вы зайдете в такой профиль, то рядом с главной фотографией будет надпись «Пользователь ограничил доступ к своей странице».","Увы, возможности увидеть список пользователей, которые предпочли ограничить вам доступ к своему профилю, нет. Если вы зайдете в такой профиль, то рядом с главной фотографией будет надпись «Пользователь ограничил доступ к своей странице»."
простой,Как удалить подписчика?,"Вы можете добавить их в чёрный список: прямо под информацией вашего профиля откройте блок подписчиков, наведите курсор на пользователя и нажмите на появившийся крестик в правом верхнем углу.  ","Подписчики никаких особенных прав не имеют: они видят только те материалы вашей страницы, что видны абсолютно всем пользователям сети. Приватные материалы «только для друзей» им недоступны.Если вы всё же не хотите видеть кого-то в ряду подписчиков, можете добавить их в чёрный список: прямо под информацией вашего профиля откройте блок подписчиков, наведите курсор на пользователя и нажмите на появившийся крестик в правом верхнем углу.  Из чёрного списка его можно удалить минут через 10 — в список подписчиков он в таком случае не вернётся."
простой,Как скрыть семейное положение?,Скрыть «Семейное положение» можно только вместе с основной информацией в профиле.,"Скрыть «Семейное положение» можно только вместе с основной информацией в профиле.Это можно сделать в настройках приватности: https://vk.com/settings?act=privacy, в пункте Кто видит основную информацию моей страницы."
