Ссылка на статью;Заголовок статьи;Текст статьи
vk.com/faq21141;Перенос средств;Обратите внимание, что Таргетированные объявления и Реклама в сообществах - это два разных раздела, у каждого из них свой бюджет. Таргетинг: https://vk.com/ads?act=budget Реклама в сообществах: https://vk.com/exchange?act=budgetЕсли вы по ошибке внесли средства не в тот раздел, то перенести весь платеж вам помогут в Поддержке по вопросам платежей: https://vk.com/support?act=new_payЕсли средства уже были частично потрачены на рекламу, остаток перенести в другой бюджет будет невозможно.
vk.com/faq21140;Ошибка «Disallow to change link object»;При рекламировании внешнего сайта:ошибка «Disallow to change link object» появляется, если вы пытаетесь изменить ссылку в ранее одобренном объявлении. Увы, это сделать технически невозможно.При рекламировании сообщества ВК:появление ошибки «Disallow to change link object» связано с тем, что объявление было создано в ту пору, когда рекламируемое сообщество еще было публичной страницей, а затем страница была переведена в группу (или наоборот).После изменения формата сообщества меняется и ссылка на него, а изменение ссылки в ранее одобренном объявлении недопустимо.Поэтому вам нужно просто создать новое объявление.
vk.com/faq21139;Как будет выглядеть моя реклама?;Форматы Текстово-графический блок (ТГБ) отображаются в полной версии сайта на всех страницах в левом боковом меню. На странице может быть до 3 рекламных блоков такого формата.Формат Рекламная запись отображается в ленте новостей и на стенах сообществ как в полной версии сайта, так и в мобильных приложениях.
vk.com/faq21138;Сортировка объявлений/кампаний;Для удобства вы можете отсортировать объявления и кампании по разным критериям.На уровне списка рекламных кампаний вы можете выбрать: Все активные кампании — отображаются все кампании, кроме Архивных кампаний Остановленные кампании — показываются кампании со статусом Остановлено Запущенные кампании — показываются компании со статусом Запущена Запланированные кампании — кампании, у которых установлена дата запуска. Архивные кампании — архивные рекламные кампании. Все объявления внутри таких кампаний тоже в архиве. Архивные объявления и кампании невозможно снова запустить, но по ним можно посмотреть статистику.На уровне списка рекламных объявлений вы можете выбрать: Все активные объявления — отображаются все объявления, кроме Архивных Остановленные объявления — отображаются объявления, которые на данный момент не показываются пользователям. Запущенные объявления — отображаются объявления, которые показываются пользователям. Отклоненные объявления — объявления, не прошедшие модерацию. Посмотреть конкретную причину отклонения можно в самом объявлении. Ожидающие запуска —? Архивные объявления — отображаются заархивированные объявления. Они доступны только для просмотра статистики. Архивные объявления невозможно снова запустить.Также вы можете отсортировать объявления и кампании по возрастанию или убыванию одного из параметров: Названию, Статусу, CPM или CPC, Лимиту, Потрачено, CTR, Переходам или Показам. Для этого необходимо нажать на название интересующего параметра.Для удобства можно отсортировать объявления и кампании по времени, когда они были активны. Для этого выберите Период статистики.
vk.com/faq21137;Как изменить целевую аудиторию?;Чтобы изменить настройки таргетинга, необходимо на уровне рекламного объявления нажать кнопку “Редактировать” и внести изменения в настройки таргетинга. Затем сохранить объявление.
vk.com/faq21136;Действия с аудиториями ретаргетинга;Как изменить правила аудитории?Чтобы изменить правило аудитории, нажмите на стрелочку справа от её названия и в выпадающем меню выберите «Редактировать правило». - это работает только с аудиториями, созданными из пикселя. При загрузке из файла не задаются правилаКак дополнить аудиторию?Чтобы дополнить аудиторию ретаргетинга, нажмите на стрелочку справа от её названия и в выпадающем меню выберите «Добавить аудиторию». После чего загрузите файл с новым списком пользователей или, если к аудитории ещё не был привязан пиксель, привяжите его, чтобы дополнять аудиторию посетителями сайта.Как удалить аудиторию?Чтобы удалить аудиторию ретаргетинга, нажмите на стрелочку справа от её названия и в выпадающем меню выберите «Удалить аудиторию». При удалении все данные о пользователях потеряются. Восстановить удаленные аудитории невозможно.Как исключить аудиторию?Чтобы исключить аудиторию из имеющейся аудитории ретаргетинга, нажмите на стрелочку справа от её названия и в выпадающем меню выберите «Исключить аудиторию». После обработки списка из файла из аудитории исключатся все указанные там пользователи.
vk.com/faq21135;Какое максимальное количество аудиторий можно создать?;Максимум можно создать до 100 аудиторий ретаргетинга в одном рекламном кабинете.
vk.com/faq21134;Требования к исходному документу;База пользователей может состоять из их адресов электронной почты, номеров телефонов и/или идентификаторов личных страниц ВКонтакте (ID) в произвольном порядке, в формате CSV или TXT:- данные должны разделяться при помощи точки с запятой (), запятой (,) или переноса строки- в одном файле могут быть указаны адреса электронной почты, номера телефона и ID страницы ВКонтакте в любом порядке- номера телефона следует указывать в международном формате (пример: 71234567890) допустимо наличие знаков «+» и «–», а также использование «восьмёрки» для российских номеров (примеры: 8-123-456-78-90, +71234567890)- ID пользователей следует указывать простым числовым номером: например, чтобы добавить пользователя Александр Круглов (id623275), следует указать просто число «623275» в файле базы.- (test@example.com, а не TEST@example.com) и от представления номера телефона без каких-либо символов, кроме цифр (79215554433, а не +7(921)555-44-33).Ни один пользователь из списка файла не узнает о добавлении в аудиторию ретаргетинга, и мы никогда не станем как-либо обращаться к ним без вашего участия.
vk.com/faq21133;Ограничения по количеству загружаемых аудиторий;Существует техническое ограничение на загрузку аудиторий ретаргетинга: 3 файла в минуту, 10 в час. Когда лимит достигнут, вы увидите “непредвиденную ошибку” при попытке загрузить аудиторию.
vk.com/faq21132;Скрытия и жалобы в подробной статистике рекламных записей;В блоке подробной статистики есть три основных показателя негативных реакций пользователей на рекламу:{{Hider|«Скрытия» рекламной записи Это число пользователей, которые нажали на три точки в правом верхнем углу вашего объявления и выбрали «Это не интересно». Данная запись больше не будет показываться этим пользователям.}} {{Hider|«Скрытия всех записей» Это число пользователей, нажавших на кнопку “Не показывать новости сообщества”. Все записи этого сообщества, в том числе рекламные, не будут показываться этим пользователям до тех пор, пока они не подпишутся на обновления этой группы.}}{{Hider|«Жалобы»После скрытия рекламной записи появляется всплывающее окно с кнопкой Пожаловаться. Показатель Жалобы в статистике рекламной записи - это число пользователей, воспользовавшихся этой возможностью.Оснований для жалобы может быть несколько:  Спам. Оскорбление. Материал для взрослых. Пропаганда наркотиков. Детская порнография. Насилие / экстремизм. Призыв к суициду.Вы не сможете получить информацию о том, кто и по какой причине пожаловался на вашу запись - эта опция анонимна. Жалобы рассматриваются модератором, если будет выявлено нарушение правил размещения рекламы, рекламная запись будет отклонена. Если нарушений нет, жалобы никак не повлияют на ход размещения.}}[vk.com/faq12126|Что делать, если скрытий и жалоб много?]
vk.com/faq21131;Что такое жалобы?;Пользователь может пожаловаться на рекламную запись. После жалобы, запись больше не будет показываться этому пользователя.Как это происходит: когда пользователь видит рекламную запись, у него есть возможность [https://vk.com/faq12124|скрыть] её. При скрытии появляется всплывающее окно с кнопкой ПожаловатьсяОснований для жалобы может быть несколько: 1. Спам.2. Оскорбление.3. Материал для взрослых.4. Пропаганда наркотиков.5. Детская порнография.6. Насилие / экстремизм.7. Призыв к суициду.Вы не сможете получить информацию о том, кто и по какой причине пожаловался на вашу запись - эта опция анонимна. Жалобы рассматриваются модератором, если будет выявлено нарушение правил размещения рекламы, рекламная запись будет отклонена. Если нарушений нет, жалобы никак не повлияют на ход размещения.[https://vk.com/faq20656|Что делать, если скрытий и жалоб много?]
vk.com/faq21130;Охват в подробной статистике по рекламной записи;"Охват не подписчиков - показывает, сколько уникальных пользователей, которые не являются подписчиками сообщества, от имени которого опубликована рекламная запись, увидели её хотя бы один раз за весь период размещения.Охват подписчиков - показывает, сколько уникальных пользователей, которые являются подписчиками сообщества, от имени которого опубликована рекламная запись, увидели её хотя бы один раз за весь период размещения.Бесплатный охват - число уникальных пользователей, которые увидели рекламную запись в своей ленте новостей после того, как кто-то из их друзей нажал на кнопку ""Поделиться"" под этим объявлением."
vk.com/faq21129;"Как посмотреть количество отметок ""Мне нравится"" и нажатий на кнопку ""Поделиться"" в объявлении?";Количество отметок Нравится и нажатий на кнопку Поделиться отображаются в блоке подробной статистики. Здесь же доступны данные о количестве комментариев для записи, продвигаемой со стены сообщества.
vk.com/faq21128;Переходы в подробной статистике;Статистика по переходам в рекламном объявлении/кампании содержит:{{Hider|Переходы в группуПрибавляется уникальная единица к счетчику, если пользователь кликнул:*по названию группы*на кнопку «подписаться», «вступить» или «перейти»*на активную ссылку на группу через упоминание (@НАЗВАНИЕ ГРУППЫ)*на сниппет с ссылкой на группу}}{{Hider|Переходы по ссылкеПрибавляется уникальная единица к счетчику, если пользователь кликнул:*на упоминание через @ пользователя или группы в теле поста*на #хештег в теле поста*на имя автора поста*на кнопку в сниппете*на сниппет}}Обратите внимание: один пользователь может увеличить счетчик каждого объекта (ссылка или группа) только 1 раз за всю историю жизни рекламного объявления. При закупке по CPC оплата происходит именно за уникальные переходы.
vk.com/faq21127;Для чего использовать пиксель ВКонтакте?;Ретаргетинг по пикселю можно использовать: - с целью напомнить клиентам, что они интересовались вашим брендом/продуктом (к примеру, рассказать посетившим сайт пользователям о проведении специального конкурса) - для предложения продолжить незавершённое на сайте действие (например, оплатить товары из корзины интернет-магазина) - чтобы исключить действующих клиентов из целевой аудитории будущих рекламных кампаний - ради исследования аудитории, которая посещает ваш сайт.
vk.com/faq21126;Как разместить пиксель ВКонтакте на сайте?;Для начала скопируйте код, который был сгенерирован при создании пикселя. Если вы случайно потеряли его, то откройте вкладку «Пиксели» раздела ретаргетинга, а затем нажмите стрелочку напротив названия нужного пикселя, в выпадающем меню выберите «Редактировать» и в открывшемся окне скопируйте код пикселя. Откройте исходный код вашего сайта и вставьте в него код пикселя ВКонтакте. Код необходимо скопировать в верхнюю часть страницы между тегами <head></head>. У вас уже могут быть другие коды между тегами <head>, поэтому просто поместите код пикселя ниже других кодов, но выше тега </head>. Чтобы убедиться, что код работает, необходимо выполнить следующие действия:1. зайти на веб-сайт (веб-страницу), на которой установлен код2. перейти в раздел «Пиксели»3. проверить, изменился ли статус пикселя на «работает».Также должна обновиться дата и время в таблице. При редактировании пикселя все собранные ранее данные не пересчитываются.
vk.com/faq21125;Безопасно ли добавлять пиксель на сайт?;ВКонтакте очень бережно относится к личным данным пользователей, поэтому пиксель ретаргетинга не собирает никакой технической информации на сайте, к примеру, номера заказа или логина его единственная задача — обнаруживать существующего авторизованного пользователя ВКонтакте, когда тот перейдёт на сайт клиента, и сохранять в заданной аудитории ретаргетинга.
vk.com/faq21124;Можно ли добавить пиксель в Google Tag Manager?;Пиксель ретаргетинга можно установить в контейнер Google Tag Manager. При этом пиксель можно ставить в <body>, а не в <head> — работать будет корректно.Актуально для тех сайтов, в которых GTM стоит на <body>, а доступ в <head> требует отдельного согласования.Чтобы подставить код нашего пикселя в GTM, выполните следующие шаги:- Нажмите «Создать»- В Конфигурации тега выберите «Пользовательский HTML» → Вставьте код- Откройте Расширенные настройки- В Настройках активации тега выберите «Один раз на страницу»- Перейдите в Тиггеры и выберите «Все страницы» (All Pages)- Нажмите «Сохранить».Внимание! В GTM надо опубликовать билд после того, как добавили новый пиксель, иначе GTM его не использует.
vk.com/faq21123;Пиксель не работает, в чем может быть причина?;Статус «не работает» у пикселя может означать несколько причин: Пиксель не установлен на сайт или установлен неправильно. Проверьте, правильно ли установлен пиксель на вашем сайте. Убедитесь, что код скопирован полностью и не изменён: вносить изменения в пиксель нельзя.:Код должен быть размещён в верхней части исходного кода сайта между тегами <head> и </head>. У вас уже могут быть другие коды между тегами <head>, поэтому просто поместите код пикселя ВКонтакте ниже других кодов, но выше тега </head>. Пиксель настроен неправильно Убедитесь, что адрес сайта, указанный в настройках пикселя, и сайт, на котором установлен пиксель, совпадают. Сайт давно не посещали Статус «не работает» может также означать, что ваш сайт посещают слишком редко: если на сайте нет посетителей более 24 часов, пиксель будет показывать статус «не работает». Если указанные причины не помогли решить проблему с пикселем, пожалуйста, обратитесь в поддержку ВКонтакте для бизнеса.
vk.com/faq21122;Как отредактировать пиксель?;Чтобы отредактировать пиксель, нажмите на стрелочку справа от его названия и в выпадающем меню выберите «Редактировать». При редактировании пикселя все собранные ранее данные не пересчитываются.
vk.com/faq21121;Как создать аудиторию по пикселю?;Чтобы создать аудиторию ретаргетинга при помощи пикселя: 1. Зайдите в кабинет управления таргетированной рекламой 2. Перейдите в раздел «Ретаргетинг»3. Откройте вкладку «Пиксели»4. Нажмите на кнопку «Создать пиксель»5. укажите название пикселя и домен сайта.Обратите внимание: поле «Источник» заполнять необязательно, но желательно: таким образом вы сможете ограничить пополнение аудитории с других сайтов.6. скопируйте сгенерированный код из поля «Код для вставки на сайт» и вставьте его между тегами <head> и </head> в исходном коде вашего сайта7. нажмите на кнопку «Сохранить»8. вернитесь на вкладку «Аудитории»9. нажмите на кнопку «Создать аудиторию»10. укажите название аудитории и выберите пункт «Получить с веб-сайта»11. выберите созданный пиксель, при помощи которого вы хотите отслеживать посетителей веб-сайта12. настройте правила, по которым пользователи будут попадать в аудиториюПравила задают критерии, по которым пользователи будут попадать в аудиторию. Можно включить всех посетителей сайта либо пользователей, которые посещают только определённые страницы. Страницы можно задавать при помощи следующих параметров: - URL совпадает — указывается полный адрес целевой страницы - URL содержит — указывается часть адреса — как правило, этот вариант используется, если целевых страниц несколько, и их можно объединить одним условием советуем указывать как можно большую часть адреса, чтобы пользователи попадали в аудиторию только с нужных страниц - регулярное выражение — для продвинутых пользователей: отслеживание URL, соответствующих шаблонам (подробнее о регулярных выражениях читайте здесь).> Также можно указать количество дней, в течение которых пользователи будут оставаться в аудитории после посещения сайта. По истечению заданного периода пользователи удаляются из аудитории, пока не посетят сайт снова.13. нажмите на кнопку «Создать», чтобы сохранить аудиторию: после сохранения она появится в списке «Аудитории», а в качестве источника у неё будет указан выбранный пиксель.
vk.com/faq21120;Как изменить правила аудитории?;Чтобы изменить правило аудитории, нажмите на стрелочку справа от её названия и в выпадающем меню выберите «Редактировать правило».
vk.com/faq21119;Как узнать какие аудитории связаны с пикселем?;Нажмите на стрелочку справа названия пикселя и в выпадающем меню выберите «Аудитория».
vk.com/faq21118;Как удалить пиксель?;Чтобы удалить пиксель, нажмите на стрелочку справа от его названия и в выпадающем меню выберите «Удалить». После удаления все аудитории, в которых пиксель был указан в качестве источника, перестанут пополняться.
vk.com/faq21108;"Ошибки сбора аудитории ""Сопоставленный просмотр страницы товара""";У меня не собирается аудитория «Сопоставленный просмотр страницы товара», что делать?Проверьте, что пиксель ВКонтакте стоит на всех страницах с товарами, и что url страниц товаров на сайте совпадают со страницами соответствующих товаров из прайс-листа.Ключевое условие для сбора аудитории «Сопоставленный просмотр страницы товара» — отображение URL в метатегах на странице сайта.<br>Как проверить, совпадают ли ссылки?Если у вас настроены метатэги на сайте, можно посмотреть, какая ссылка передается в параметрах пикселя, и сравнить её со ссылкой в прайс-листе для этого товара:1. воспользуйтесь консолью в браузере и откройте вкладку Network в браузере Google Chrome2. найдите соответствующий запрос от пикселя3. проверьте параметр metatag_url[[photo100_456892298|400x170pxnoborder| ]]4. сравните его с параметром url соответствующего товара в прайс-листе.<br>У меня не совпадают ссылки, что делать?Если у вас не настроены метатэги, пропишите их в соответствии со ссылками из прайс-листа.Если у вас уже настроены метатэги, поменяйте ссылку для товара в прайс-листе на ссылку из метатэгов или наоборот.
vk.com/faq21107;Сценарии динамического ретаргетинга;Важный фактор эффективности динамического ретаргетинга — сценарии объявлений.Сценарии динамического ретаргетинга создаются из сочетания событий, совершенных пользователями на сайте. Поэтому один из первых этапов настройки - установка событий на страницах сайта, подробно об этом [vk.com/faq20886|в статье]. Мы рекомендуем устанавливать все виды событий, чтобы при настройке сценариев объявления у вас было максимальное количество вариантов. Аудитория по установленным на сайте событиям собирается во вкладке Динамический ретаргетинг раздела Ретаргетинг. Для каждого события есть семь сегментов по давности совершения действия на сайте (один, три, семь, четырнадцать, тридцать, шестьдесят и сто восемьдесят дней). В сегментах указано количество уникальных пользователей, совершивших действие на сайте за период.[[photo100_458801947|400x229pxnoborder| ]]Настройка сценария динамического ретаргетинга для объявления содержится в двух полях, доступных при создании и редактировании объявления. Первое – это выбор прайс-листа (доступно только при создании объявления, после первого сохранения выбрать другой прайс-лист не получится). Второе – Формула прайс-листа, в нем и нужно указать логическое выражение из сегментов аудитории.[[photo100_458245241|400x69pxnoborder| ]]Сегменты аудитории по событиям и периодам объединяются с помощью логических операторов. На кругах Эйлера покажем, как работают логические операторы с аудиториями А и В. Темным выделена аудитория, на которую будет таргетировано объявление при применении соответствующего оператора.А и В – пересечение. При использовании формулы &#39Просмотр страницы поиска и Добавление в список желаний&#39 — в аудиторию попадают только те пользователи, которые и искали что-то на сайте, и добавили товары в избранное.[[photo100_458245244|160x99pxnoborder| ]]А или В – суммирование. При использовании формулы &#39Просмотр страницы поиска или Добавление в список желаний&#39 — в аудиторию попадают и все, кто искал что-либо на сайте, и все, кто добавлял товары в избранное.[[photo100_458245245|160x100pxnoborder| ]]А и не В – вычитание. При использовании формулы &#39Просмотр страницы поиска и не Добавление в список желаний&#39 — в аудитории будут все пользователи, искавшие что-либо на сайте и ничего не добавившие в избранное.[[photo100_458245247|161x99pxnoborder| ]]Эффективные формулы-сценарииХорошая структура кампании динамического ретаргетинга соответствует трем основным критериям:1. позволяет разделить аудиторию на сегменты с разной эффективностью для гибкого управления ставками,2. охватывает всех пользователей, совершивших какое-либо действие на сайте,3. исключает пересечения между сегментами (объявлениями), чтобы не допустить конкуренцию и каннибализацию трафика между объявлениями.В первую очередь эти критерии-правила касаются самой формулы динамического ретаргетинга.Для составления эффективной структуры нужно определить, какие пользователи с наибольшей вероятностью совершат покупку на сайте. Это будет самая узкая и самая эффективная аудитория. Чаще всего это пользователи, которые положили товар в корзину за 1 день, но не совершили покупку. Далее по эффективности идут пользователи, которые сделали то же самое, но не за 1 день, а за последние 3 дня. Чтобы исключить пересечение с первой аудиторией, формула должна выглядеть так: Добавление товара в корзину за 3 дня и не Добавление товара в корзину за 1 день и не Совершение покупки за три дня. Если мы пойдем далее по такому принципу, получим целую кампанию объявлений, нацеленных на пользователей, добавивших товар в корзину, но не совершивших покупку. И сможем управлять ставкой в зависимости от актуальности покупательской заинтересованности за счет разделение по периодам. Полная структура такой кампании в формулах:[[photo100_458245249|400x144pxnoborder| ]]Чтобы охватить всю аудиторию сайта нужно создать такие же кампании по значимым видам действий, настроенных на вашем сайте, например:Просмотр главной страницы (вычесть: Просмотр страницы категории, Просмотр страницы поиска, Просмотр страницы товара)Просмотр страницы категории (вычесть: Просмотр страницы поиска, Просмотр страницы товара, Добавление в список желаний)Просмотр страницы поиска (вычесть: Просмотр страницы категории, Просмотр страницы поиска, Добавление в список желаний)Просмотр страницы товара (вычесть: Добавление в список желаний, Добавление в корзину)Добавление в список желаний (вычесть: Добавление в корзину)Добавление в корзину (вычесть: Совершение покупки)Совершение покупкиЭтот способ позволяет максимально сегментировать аудиторию по действиям на сайте. Такое подробное деление применимо к сайтам с высокой посещаемостью — (от 10 тыс. уникальных посетителей в день). В этом случае в каждом сегменте будет не менее 400 человек, и на основе данных по эффективности каждого объявления можно будет сделать выводы для оптимизации ставок. Если на вашем сайте не так много посетителей, сделайте более крупное деление, чтобы на каждый сегмент приходилось значительное количество пользователей.Несколько ошибок, с которыми мы часто сталкиваемся:— Самая распространенная ошибка в формулах — использование логического оператора и для пересечения большого количества сегментов. Как здесь:Просмотр главной страницы и Просмотр страницы категории и Просмотр страницы поиска и Просмотр страницы товара и Добавление товара в список желаний и Добавление товара в корзину. Так мы получаем очень узкий сегмент пользователей, которые совершили ВСЕ эти действия. Их всегда будет очень мало.— Использование только части собранной аудитории в объявлениях. Например, вы создали объявления на пользователей, просмотревших страницы товара и добавивших товар в корзину, но оставили без внимания тех, кто только просмотрел страницу категории. Таким образом вы теряете пользователей, которых что-то отвлекло от просмотра сайта. Конечно, ставка для такой аудитории должна быть ниже, но охватить её стоит.— Одинаковые ставки для аудиторий с разным потенциалом. Даже на старте нужно учитывать, что пользователи, которые больше всего приблизились к покупке, с большей вероятностью совершат её, перейдя по рекламному объявлению. После запуска объявлений и накопления статистики, необходимо регулярно корректировать ставки, чтобы увеличить открутку по окупающимся объявлениям и уменьшить по неокупающимся.— Создание объявлений с пересекающимися сегментами. Аудитория динамического ретаргетинга обычно довольно узкая. Если допустить пересечения, объявления будут конкурировать друг с другом.Каждый сайт уникален и поведение пользователей на нем может значительно отличаться от распространенных сценариев. Поэтому нет универсального набора формул динамического ретаргетинга, которые подойдут всем. Необходимо учитывать особенности поведения вашей аудитории, несколько примеров:1. Сколько времени обычно занимает принятие решения о покупке вашего товара? Например, если вы продаете квартиры или другой товар с долгим периодом принятия решения— нет необходимости сегментировать посетителей по времени на совершивших действия за 1 день, совершивших действие за 3 дня и совершивших действие за 7 дней. Скорее всего они будут показывать одинаковую эффективность, а управлять меньшим количеством объявлений проще. С другой стороны, если ваш товар нужен пользователю здесь и сейчас, например, воздушные шарики на день рождения — нет смысла добавлять объявления по пользователям, совершившим действие 30 дней назад. Нужно сконцентрироваться на более свежей аудитории.2. Как часто пользователи, совершившие покупку на вашем сайте, совершают повторную покупку в течении 30 дней? Например, вы продаете роллы с доставкой. В этом случае имеет смысл показывать объявление тем, кто недавно сделал заказ. А если ваш товар — юридические услуги, скорее всего нет смысла использовать аудиторию покупателей в динамическом ретаргетинге.3. Если на вашем сайте можно добавить товар в корзину не заходя на страницу товара, нужно учесть это в формуле для посетителей страницы категории. В ней нужно вычесть не только посетителей страниц товаров, но и добавивших товар в корзину, чтобы избежать пересечения с более качественными сегментами.
